normalising_temperature,tempering_temperature,sample,percent_silicon,percent_chromium,manufacture_year,percent_copper,percent_nickel,percent_sulphur,percent_carbon,percent_manganese,tensile_strength
178.5,275,653,0.153,0.970574759,1998,0.942,0.887,0,1.92,0,25.10761328
178.5,950,654,0.153,1.21272603,2010,0.942,0.887,0,1.92,0,140.0353335
178.5,375,678,0.153,1.621164828,1992,0.942,0.887,0,1.92,0,42.21764969
178.5,900,681,0.153,0.80998863,1991,0.942,0.887,0,1.92,0,95.01530861
189.525,900,658,0.1624,1.036229263,2009,0.849,0.9382,0,2.035,0,113.2667725
189.525,950,660,0.1624,0.93545159,2004,0.849,0.9382,0,2.035,0,160.7744268
189.525,275,689,0.1624,1.390218374,1992,0.849,0.9382,0,2.035,0,12.82494308
189.525,375,698,0.1624,1.416357675,2006,0.849,0.9382,0,2.035,0,42.47930584
203,950,661,0.173,1.162189166,2011,0.8919,0.9098,0,1.92,0,170.6301415
203,900,696,0.173,1.31242066,1992,0.8919,0.9098,0,1.92,0,122.9139207
203,275,709,0.173,1.108258101,1993,0.8919,0.9098,0,1.92,0,34.54240286
203,375,717,0.173,1.051569509,1992,0.8919,0.9098,0,1.92,0,55.49385481
214.55,950,651,0.1839,1.07601808,2008,0.8001,0.9582,0,2.035,0,182.5563526
214.55,900,655,0.1839,1.325198859,1998,0.8001,0.9582,0,2.035,0,133.6001093
214.55,275,706,0.1839,1.086320287,2010,0.8001,0.9582,0,2.035,0,18.25904817
214.55,375,719,0.1839,1.403070885,2006,0.8001,0.9582,0,2.035,0,56.95002812
231,900,858,0.207,1.470654724,1992,0.736,0.867,0.05,1.79,1.61,183.1592994
231,900,1015,0.2065,1.283542741,2009,0.7356,0.8669,0.055,1.789,1.609,183.1858442
232.75,900,664,0.2,1.21012507,2004,0.8392,0.9274,0,1.92,0,153.3115386
232.75,950,684,0.2,1.514043553,2008,0.8392,0.9274,0,1.92,0,201.2363259
232.75,375,686,0.2,1.402326238,2004,0.8392,0.9274,0,1.92,0,75.15219452
232.75,275,701,0.2,0.947351237,2004,0.8392,0.9274,0,1.92,0,37.86050611
232.75,900,879,0.21,1.360017244,2001,0.795,0.949,0.03,1.96,0,170.64531
232.925,900,942,0.2102,1.107778632,2000,0.7953,0.9494,0.031,1.957,0,159.1589846
235.725,900,969,0,1.38269057,2003,0.8049,0.961,0.1,1.802,1.657,73.11582716
236.25,900,906,0,1.148668104,2004,0.805,0.961,0.1,1.8,1.66,73.11203504
236.25,900,930,0.105,1.267843512,1995,0.643,0.965,0.06,1.96,1.93,120.51351
237.475,375,575,0.2035,0.949572557,1991,0.7593,1.0762,0,1.857,0,41.28858078
237.475,900,578,0.2035,1.259019623,2008,0.7593,1.0762,0,1.857,0,100.0929546
238,900,921,0.162,1.444654303,2001,0.764,0.923,0.1,1.72,1.26,159.8756949
238,900,925,0.196,1.354691744,2007,0.783,0.847,0.06,1.99,0.98,148.309735
238.7,900,984,0.1616,1.40340215,1994,0.7644,0.9226,0.104,1.716,1.258,159.9022397
244.3,950,17,0.2094,1.665857913,1997,0.8069,1.047,0,1.92,0,216.4692639
244.3,900,22,0.2094,1.021100643,2001,0.8069,1.047,0,1.92,0,155.3061927
244.3,275,23,0.2094,1.44665003,2005,0.8069,1.047,0,1.92,0,44.34882001
244.3,950,67,0.2094,1.727578841,2003,0.8069,1.047,0,1.92,0,245.8392178
244.475,900,1020,0.1639,0.778916412,1990,0.6556,0.8686,0.058,2.367,1.277,193.7393086
244.825,900,946,0.1326,1.311100841,1998,0.7534,0.916,0.074,2.003,1.033,200.4399811
245,900,863,0.164,1.120223504,1992,0.656,0.869,0.06,2.37,1.28,193.7393086
245,900,883,0.133,1.590606257,1999,0.753,0.916,0.07,2,1.03,200.4134363
247.275,900,649,0.212,1.185883762,1993,0.7485,0.9718,0,2.035,0,164.4072759
247.275,375,662,0.212,1.102509426,1995,0.7485,0.9718,0,2.035,0,57.16617885
247.275,950,716,0.212,1.417456205,2001,0.7485,0.9718,0,2.035,0,218.141588
247.275,275,718,0.212,1.05469909,2006,0.7485,0.9718,0,2.035,0,26.55241024
248.325,900,1001,0.1666,1.479831129,2010,0.7853,0.8826,0.109,1.735,1.297,245.3652031
248.5,900,844,0.167,1.061497883,2009,0.785,0.883,0.11,1.74,1.3,245.3500346
250.25,900,895,0.169,1.252186351,2002,0.643,0.967,0.08,1.91,1.43,163.478207
250.25,900,958,0.1694,1.567673085,1999,0.6435,0.9674,0.084,1.907,1.427,163.4933755
251.3,900,993,0,1.386617189,2004,0.8445,0.9427,0.179,1.584,1.749,84.82967966
251.475,900,965,0.1702,0.980064812,1993,0.8053,0.8141,0.085,1.916,1.326,164.2897202
251.65,900,974,0.1363,1.558077807,1995,0.7743,0.9415,0.075,1.781,1.062,143.812283
252,900,836,0,1.148644478,2000,0.844,0.943,0.18,1.58,1.75,84.79175848
252,900,902,0.17,0.87789428,2009,0.805,0.814,0.08,1.92,1.33,164.2745518
252,900,911,0.136,1.551397813,1991,0.774,0.941,0.07,1.78,1.06,143.7971146
252,900,932,0.015,1.378906982,2011,0.709,1.021,0.06,1.76,1.95,84.3746255
